2026-07-14 02:00:09 startup archives unpack
2026-07-14 02:00:09 install netbase:all <none> 6.5
2026-07-14 02:00:09 status half-installed netbase:all 6.5
2026-07-14 02:00:09 status unpacked netbase:all 6.5
2026-07-14 02:00:09 install openssl:amd64 <none> 3.5.6-1~deb13u2
2026-07-14 02:00:09 status half-installed openssl:amd64 3.5.6-1~deb13u2
2026-07-14 02:00:09 status unpacked openssl:amd64 3.5.6-1~deb13u2
2026-07-14 02:00:09 install ca-certificates:all <none> 20250419
2026-07-14 02:00:09 status half-installed ca-certificates:all 20250419
2026-07-14 02:00:09 status unpacked ca-certificates:all 20250419
2026-07-14 02:00:09 startup packages configure
2026-07-14 02:00:09 configure netbase:all 6.5 <none>
2026-07-14 02:00:09 status unpacked netbase:all 6.5
2026-07-14 02:00:09 status half-configured netbase:all 6.5
2026-07-14 02:00:09 status installed netbase:all 6.5
2026-07-14 02:00:09 configure openssl:amd64 3.5.6-1~deb13u2 <none>
2026-07-14 02:00:09 status unpacked openssl:amd64 3.5.6-1~deb13u2
2026-07-14 02:00:09 status half-configured openssl:amd64 3.5.6-1~deb13u2
2026-07-14 02:00:09 status installed openssl:amd64 3.5.6-1~deb13u2
2026-07-14 02:00:09 configure ca-certificates:all 20250419 <none>
2026-07-14 02:00:09 status unpacked ca-certificates:all 20250419
2026-07-14 02:00:09 status half-configured ca-certificates:all 20250419
2026-07-14 02:00:10 status installed ca-certificates:all 20250419
2026-07-14 02:00:10 status triggers-pending ca-certificates:all 20250419
2026-07-14 02:00:10 trigproc ca-certificates:all 20250419 <none>
2026-07-14 02:00:10 status half-configured ca-certificates:all 20250419
2026-07-14 02:00:10 status installed ca-certificates:all 20250419
2026-07-14 02:00:16 startup archives unpack
2026-07-14 02:00:16 install libexpat1:amd64 <none> 2.7.1-2
2026-07-14 02:00:16 status triggers-pending libc-bin:amd64 2.41-12+deb13u3
2026-07-14 02:00:16 status half-installed libexpat1:amd64 2.7.1-2
2026-07-14 02:00:16 status unpacked libexpat1:amd64 2.7.1-2
2026-07-14 02:00:16 install adduser:all <none> 3.152
2026-07-14 02:00:16 status half-installed adduser:all 3.152
2026-07-14 02:00:16 status unpacked adduser:all 3.152
2026-07-14 02:00:16 startup packages configure
2026-07-14 02:00:16 configure adduser:all 3.152 <none>
2026-07-14 02:00:16 status unpacked adduser:all 3.152
2026-07-14 02:00:16 status half-configured adduser:all 3.152
2026-07-14 02:00:16 status installed adduser:all 3.152
2026-07-14 02:00:16 startup archives unpack
2026-07-14 02:00:16 install readline-common:all <none> 8.2-6
2026-07-14 02:00:16 status half-installed readline-common:all 8.2-6
2026-07-14 02:00:16 status unpacked readline-common:all 8.2-6
2026-07-14 02:00:16 install bzip2:amd64 <none> 1.0.8-6
2026-07-14 02:00:16 status half-installed bzip2:amd64 1.0.8-6
2026-07-14 02:00:16 status unpacked bzip2:amd64 1.0.8-6
2026-07-14 02:00:16 install perl-modules-5.40:all <none> 5.40.1-6
2026-07-14 02:00:16 status half-installed perl-modules-5.40:all 5.40.1-6
2026-07-14 02:00:17 status unpacked perl-modules-5.40:all 5.40.1-6
2026-07-14 02:00:17 install libgdbm6t64:amd64 <none> 1.24-2
2026-07-14 02:00:17 status half-installed libgdbm6t64:amd64 1.24-2
2026-07-14 02:00:17 status unpacked libgdbm6t64:amd64 1.24-2
2026-07-14 02:00:17 install libgdbm-compat4t64:amd64 <none> 1.24-2
2026-07-14 02:00:17 status half-installed libgdbm-compat4t64:amd64 1.24-2
2026-07-14 02:00:17 status unpacked libgdbm-compat4t64:amd64 1.24-2
2026-07-14 02:00:17 install libperl5.40:amd64 <none> 5.40.1-6
2026-07-14 02:00:17 status half-installed libperl5.40:amd64 5.40.1-6
2026-07-14 02:00:17 status unpacked libperl5.40:amd64 5.40.1-6
2026-07-14 02:00:17 install perl:amd64 <none> 5.40.1-6
2026-07-14 02:00:17 status half-installed perl:amd64 5.40.1-6
2026-07-14 02:00:17 status unpacked perl:amd64 5.40.1-6
2026-07-14 02:00:17 install libunistring5:amd64 <none> 1.3-2
2026-07-14 02:00:17 status half-installed libunistring5:amd64 1.3-2
2026-07-14 02:00:17 status unpacked libunistring5:amd64 1.3-2
2026-07-14 02:00:17 install libidn2-0:amd64 <none> 2.3.8-2
2026-07-14 02:00:17 status half-installed libidn2-0:amd64 2.3.8-2
2026-07-14 02:00:17 status unpacked libidn2-0:amd64 2.3.8-2
2026-07-14 02:00:17 install libffi8:amd64 <none> 3.4.8-2
2026-07-14 02:00:17 status half-installed libffi8:amd64 3.4.8-2
2026-07-14 02:00:17 status unpacked libffi8:amd64 3.4.8-2
2026-07-14 02:00:17 install libp11-kit0:amd64 <none> 0.25.5-3
2026-07-14 02:00:17 status half-installed libp11-kit0:amd64 0.25.5-3
2026-07-14 02:00:17 status unpacked libp11-kit0:amd64 0.25.5-3
2026-07-14 02:00:17 install libtasn1-6:amd64 <none> 4.20.0-2+deb13u1
2026-07-14 02:00:17 status half-installed libtasn1-6:amd64 4.20.0-2+deb13u1
2026-07-14 02:00:17 status unpacked libtasn1-6:amd64 4.20.0-2+deb13u1
2026-07-14 02:00:17 install libgnutls30t64:amd64 <none> 3.8.9-3+deb13u4
2026-07-14 02:00:17 status half-installed libgnutls30t64:amd64 3.8.9-3+deb13u4
2026-07-14 02:00:17 status unpacked libgnutls30t64:amd64 3.8.9-3+deb13u4
2026-07-14 02:00:17 install libpsl5t64:amd64 <none> 0.21.2-1.1+b1
2026-07-14 02:00:17 status half-installed libpsl5t64:amd64 0.21.2-1.1+b1
2026-07-14 02:00:17 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2026-07-14 02:00:17 install wget:amd64 <none> 1.25.0-2
2026-07-14 02:00:17 status half-installed wget:amd64 1.25.0-2
2026-07-14 02:00:18 status unpacked wget:amd64 1.25.0-2
2026-07-14 02:00:18 install xz-utils:amd64 <none> 5.8.1-1+deb13u1
2026-07-14 02:00:18 status half-installed xz-utils:amd64 5.8.1-1+deb13u1
2026-07-14 02:00:18 status unpacked xz-utils:amd64 5.8.1-1+deb13u1
2026-07-14 02:00:18 install libsframe1:amd64 <none> 2.44-3
2026-07-14 02:00:18 status half-installed libsframe1:amd64 2.44-3
2026-07-14 02:00:18 status unpacked libsframe1:amd64 2.44-3
2026-07-14 02:00:18 install binutils-common:amd64 <none> 2.44-3
2026-07-14 02:00:18 status half-installed binutils-common:amd64 2.44-3
2026-07-14 02:00:18 status unpacked binutils-common:amd64 2.44-3
2026-07-14 02:00:18 install libbinutils:amd64 <none> 2.44-3
2026-07-14 02:00:18 status half-installed libbinutils:amd64 2.44-3
2026-07-14 02:00:18 status unpacked libbinutils:amd64 2.44-3
2026-07-14 02:00:18 install libgprofng0:amd64 <none> 2.44-3
2026-07-14 02:00:18 status half-installed libgprofng0:amd64 2.44-3
2026-07-14 02:00:18 status unpacked libgprofng0:amd64 2.44-3
2026-07-14 02:00:18 install libctf-nobfd0:amd64 <none> 2.44-3
2026-07-14 02:00:18 status half-installed libctf-nobfd0:amd64 2.44-3
2026-07-14 02:00:18 status unpacked libctf-nobfd0:amd64 2.44-3
2026-07-14 02:00:18 install libctf0:amd64 <none> 2.44-3
2026-07-14 02:00:18 status half-installed libctf0:amd64 2.44-3
2026-07-14 02:00:18 status unpacked libctf0:amd64 2.44-3
2026-07-14 02:00:18 install libjansson4:amd64 <none> 2.14-2+b3
2026-07-14 02:00:18 status half-installed libjansson4:amd64 2.14-2+b3
2026-07-14 02:00:18 status unpacked libjansson4:amd64 2.14-2+b3
2026-07-14 02:00:18 install binutils-x86-64-linux-gnu:amd64 <none> 2.44-3
2026-07-14 02:00:18 status half-installed binutils-x86-64-linux-gnu:amd64 2.44-3
2026-07-14 02:00:18 status unpacked binutils-x86-64-linux-gnu:amd64 2.44-3
2026-07-14 02:00:18 install binutils:amd64 <none> 2.44-3
2026-07-14 02:00:18 status half-installed binutils:amd64 2.44-3
2026-07-14 02:00:18 status unpacked binutils:amd64 2.44-3
2026-07-14 02:00:18 install libisl23:amd64 <none> 0.27-1
2026-07-14 02:00:18 status half-installed libisl23:amd64 0.27-1
2026-07-14 02:00:18 status unpacked libisl23:amd64 0.27-1
2026-07-14 02:00:18 install libmpfr6:amd64 <none> 4.2.2-1
2026-07-14 02:00:18 status half-installed libmpfr6:amd64 4.2.2-1
2026-07-14 02:00:18 status unpacked libmpfr6:amd64 4.2.2-1
2026-07-14 02:00:18 install libmpc3:amd64 <none> 1.3.1-1+b3
2026-07-14 02:00:18 status half-installed libmpc3:amd64 1.3.1-1+b3
2026-07-14 02:00:18 status unpacked libmpc3:amd64 1.3.1-1+b3
2026-07-14 02:00:18 install cpp-14-x86-64-linux-gnu:amd64 <none> 14.2.0-19
2026-07-14 02:00:18 status half-installed cpp-14-x86-64-linux-gnu:amd64 14.2.0-19
2026-07-14 02:00:19 status unpacked cpp-14-x86-64-linux-gnu:amd64 14.2.0-19
2026-07-14 02:00:19 install cpp-14:amd64 <none> 14.2.0-19
2026-07-14 02:00:19 status half-installed cpp-14:amd64 14.2.0-19
2026-07-14 02:00:19 status unpacked cpp-14:amd64 14.2.0-19
2026-07-14 02:00:19 install cpp-x86-64-linux-gnu:amd64 <none> 4:14.2.0-1
2026-07-14 02:00:19 status half-installed cpp-x86-64-linux-gnu:amd64 4:14.2.0-1
